activiteitnaam;activiteit_postcode;hotelid;percentage_korting
Bistro Tearoom De Kippe;8650;223692;20
Heemkundig Museum Turkeyenhof;8450;220694;20
M – café (M – Museum Leuven);3000;345724;20
Sint-Pieter-en-Paulkerk;2800;211875;20
Museum Schone Kunsten Gent - MSK;9000;383455;20
Het land aan de overkant;3001;210785;20
Belfort Brugge;8000;382322;20
Strandrolstoel;8660;229375;20
Serpentarium;8370;325233;20
Tearoom M due;8450;222952;20
Sint-Carolus Borromeuskerk;2000;211132;20
Restaurant De Kombuis;8380;228797;20
Middelheimmuseum;2020;356976;20
Bistro Moby Dick;8400;225880;20
Ravelingen - De Wandelaar;8400;228269;20
Westfront;8620;385838;20
Taverne On the Beach (Casino Middelkerke);8430;221323;20
AfricaMuseum;3080;219850;20
Sint-Salvatorskathedraal;8000;211541;20
(elektrische) Strandjutter;8670;229368;20
Zwembad Hoge Blekker;8670;221343;20
Toerisme De Haan - Infokantoor Vosseslag;8420;228128;20
Restaurant - Tearoom De Markt;8620;229368;20
Provinciaal Domein Sterrebos;8800;228599;20
Wandelen met de Joëlette (draagrolstoel);2460;219460;20
Toeristisch bezoekerscentrum De Warandepoort;3080;212539;20
Visit Antwerpen - Centraal Station;2018;324993;20
Zwembad Ter Polder;8450;228705;20
O.L.V. Sint-Pieterskerk;9000;211082;20
Bezoekerscentrum Palingbeek;8902;229470;20
Infokantoor Toerisme  Aalst;9300;220976;20
Lijssenthoek Military Cemetery;8970;224599;20
Toerisme De Panne;8660;220740;20
Strandrolstoel en tandems;8670;229629;20
Visit Antwerpen;2000;211126;20
Briljante Kempen;2560;219163;20
Restaurant De Kombuis;8380;228997;20
Belgische Militaire Begraafplaats Adinkerke;8660;219973;20
Stadsmuseum 't Schippershof;8930;229213;20
Entomopolis;3690;227797;20
Westfront;8620;220930;20
Begijnhofmuseum;2300;219331;20
Begijnhof Lier;2500;218971;20
Bourgoyen - Ossemeersen;9030;211060;20
Stadhuis Brugge;8000;211587;20
Begijnhof Brugge;8000;211602;20
DvT Koekelare;8680;224801;20
Dienst Toerisme Koksijde-Oostduinkerke;8670;377927;20
Bezoekerscentrum Ferdinand Verbiest;8740;225029;20
Restaurant Blue Lobster;8380;250914;20
Brasserie Carrousel (Hotel Cosmopolite);8620;226383;20
Café De Republiek;8000;378826;20
Hostellerie De Kemmelberg;8956;226873;20
strandbuggy's;8400;225056;20
Bezoekerscentrum De Lambiek;1652;227460;20
Brouwerij Timmermans;1701;219668;20
Infokantoor Markt (Historium);8000;211544;20
Toerisme Ieper;8900;226610;20
Brasserie Marcel;8370;229101;20
Hostellerie De Kemmelberg;8956;224801;20
Nationaal Tabaksmuseum;8940;276408;20
Reinaertroute (160 km);9000;211342;20
Zwembad Ter Polder;8450;223168;20
M HKA - Museum van Hedendaagse Kunst Antwerpen;2000;211131;20
Brasserie Marcel;8370;223838;20
De Kwizien;3500;228584;20
Brasserie Cinq Annoo;8301;228074;20
The Jane;2018;211073;20
Verhuur handbikes To Walk Again;2200;219018;20
DvT Waregem;8790;229213;20
Arentshuis;8000;211550;20
Toerisme - VVV Balen vzw;2490;219319;20
Grand Café au Lilas Blanc;8301;229375;20
Strandrolstoel en tandems;8670;222136;20
Toerisme De Panne;8660;227906;20
Stadsbrouwerij De Koninck;2018;211105;20
Toeristisch bezoekerscentrum De Warandepoort;3080;221705;20
Provinciaal Groendomein Hertberg;2230;386761;20
Toerisme Peer;3990;226340;20
La Bouffée;8340;225029;20
Vleeshuismuseum;9200;224507;20
La Bouffée;8340;219967;20
DvT Waregem;8790;224405;20
Koetsen Verdonckt;9681;229361;20
Restaurant Caroline;8301;225595;20
Restaurant Belvedere;8400;212541;20
Restaurant Zeepaardje;8370;228128;20
Visit Antwerpen;2000;211051;20
Ecocentrum De Goren;2400;219025;20
FOMU – Fotomuseum Antwerpen;2000;211318;20
Fluisterboten - Maascentrum De Wissen;3650;220042;20
M HKA - Museum van Hedendaagse Kunst Antwerpen;2000;211105;20
Middelheimmuseum;2020;211104;20
Vayamundo De Kinkhoorn & Ravelingen;8400;226125;20
Menenpoort;8900;223692;20
Tyne Cot Cemetery + bezoekerscentrum;8980;224848;20
Vlaamse Ardennenroute (120 km);9000;211060;20
Restaurant Maria van Bourgondië;8000;261644;20
Restaurant Callecanes;8978;226363;20
Briljante Kempen;2560;219430;20
Brasserie Stadspark;2300;219426;20
Toerisme Middelkerke;8430;227200;20
De Wereld van Kina: het Huis;9000;211170;20
M – café (M – Museum Leuven);3000;211509;20
Provinciedomein Raversyde;8400;221132;20
Bistro Moby Dick;8400;229380;20
Strandrolstoel;8660;226767;20
Stadhuis van Antwerpen;2000;211876;20
AfricaMuseum;3080;324812;20
Fort Napoleon;8400;226240;20
Suske en Wiske Museum;2920;219352;20
Sint-Romboutstoren;2800;261195;20
Maagdenhuismuseum;2000;212279;20
Restaurant Bistreau;8450;221314;20
Restaurant-Taverne Tijdok;8380;385266;20
Visit Antwerpen;2000;211371;20
Abdijmuseum Ten Duinen ;8670;314734;20
O.L.V. Sint-Pieterskerk;9000;212009;20
Sint-Carolus Borromeuskerk;2000;211427;20
Taverne Den Bolhoed;2000;211042;20
Dodencellen en executiepaal;8970;227534;20
Floris;8200;211579;20
Brasserie Entourage;8400;227206;20
Strandbuggy en -rolstoel;8400;223168;20
Cafetaria De Lenspolder (kinderboerderij);8620;225077;20
Fort van Duffel;2570;218992;20
Rolstoelfietsen;8200;211594;20
Openluchtmuseum Bokrijk;3600;229051;20
De Wereld van Kina: de Tuin;9000;211170;20
HET STADSMUS;3500;314745;20
Belgische Militaire Begraafplaats Adinkerke;8660;223838;20
Ossuaire français Veurne;8630;222400;20
Kasteel Wijnendale;8820;225029;20
Fort van Duffel;2570;382925;20
Bezoekerscentrum Boekhoute;9961;223471;20
Suske en Wiske Museum;2920;219288;20
Herisemmolen;1652;224790;20
Zoethout;3830;227174;20
Bistro Moby Dick;8400;223890;20
Taverne On the Beach (Casino Middelkerke);8430;227150;20
Zoo Antwerpen;2018;210832;20
Glacier Vincent;8370;227288;20
Artillery Wood Cemetery;8904;226610;20
Restaurant Belvedere;8400;226370;20
Stedelijk zwembad;8620;227393;20
De Wereld van Kina: het Huis;9000;211133;20
Strandrolstoel;8370;229385;20
NAVIGO-Nationaal Visserijmuseum;8670;263796;20
Sint-Niklaaskerk;8957;220048;20
Bistro Vaudeville;8400;220589;20
Zwembad- en saunacomplex Sport Vlaanderen;8370;228715;20
ModeMuseum Antwerpen - MoMu;2000;211371;20
Lijssenthoek Military Cemetery;8970;222400;20
Kantcentrum;8000;211537;20
Infokantoor Markt (Historium);8000;211597;20
Historium Brugge;8000;211593;20
Museum Schone Kunsten Gent - MSK;9000;210762;20
Restaurant Venitien;8370;229629;20
Taverne Seastar Terminal;8620;226617;20
Bistro Moby Dick;8400;222952;20
Toerisme Wetteren - verhuur tandem;9230;223630;20
Innesto;3530;222725;20
ModeMuseum Antwerpen - MoMu;2000;384084;20
Glacier Vincent;8370;228267;20
Paul Delvauxmuseum;8670;228185;20
Toerisme Brugge (Zeedijk);8380;211616;20
Restaurant - Tearoom De Markt;8620;221410;20
M Leuven;3000;211048;20
Hotel Dennenhof - restaurant;2930;219419;20
Toerisme Klein-Brabant - Scheldeland;2880;229221;20
Fietsencentrum Mobiel (Handbike);8500;276408;20
Snijders&Rockoxhuis;2000;384265;20
Provinciedomein Raversyde;8400;225254;20
Strandrolstoel;8370;220365;20
Gallo-Romeins Museum Tongeren;3700;221719;20
Pakawi Park;2491;219217;20
Stadsbrouwerij De Koninck;2018;211666;20
Brasserie Marcel;8370;228857;20
Rubenshuis;2000;382461;20
Restaurant Caroline;8301;229395;20
Floris;8200;211575;20
Restaurant De Mirage;8660;222223;20
Stedelijk zwembad;8620;220059;20
Restaurant Comilfo;8620;219719;20
Restaurant Comilfo;8620;229394;20
Bezoekerscentrum Dru!f, huis van de tafeldruif;3090;222662;20
Duinpanne;8660;324928;20
Ossuaire français Veurne;8630;225545;20
Serpentarium;8370;225512;20
Stadhuis van Antwerpen;2000;211036;20
Recreatiedomein Grasduinen;8450;229463;20
Museum De Mindere;3800;220821;20
Zoo Antwerpen;2018;357215;20
Zwembad Ter Polder;8450;227374;20
Graanmarkt 13;2000;211932;20
De bibliotheektoren van Leuven;3000;210785;20
Groeningemuseum;8000;211545;20
Toerisme Brugge (Zeedijk);8380;211589;20
Toerisme Oostende;8400;222504;20
Zwembad De Axolotl;9860;302008;20
Bezoekerscentrum Landschap De Liereman;2360;219252;20
Ravelingen - De Wandelaar;8400;227913;20
Zwembad Hoge Blekker;8670;225058;20
Floris;8200;211574;20
Toerisme Wuustwezel;2990;218974;20
Restaurant De Kombuis;8380;222040;20
Bistro De Markt;8370;227633;20
Restaurant Aazaert;8370;222504;20
Brasserie Flo Antwerp (Hilton Antwerp Old Town);2000;211123;20
Glacier Vincent;8370;226669;20
Belfort Brugge;8000;211615;20
Recreatiedomein Grasduinen;8450;220413;20
Stadhuis Brugge;8000;211557;20
Nationaal Tabaksmuseum;8940;222265;20
Heemkundig Museum Turkeyenhof;8450;229629;20
Het Waterhuis aan de Bierkant;9000;383455;20
Memling Taverne;3000;210804;20
Käthe Kollwitz Museum - Fransmansmuseum;8680;219920;20
Bruges Beer Museum;8000;211572;20
Bezoekerscentrum Ferdinand Verbiest;8740;223582;20
FOMU – Fotomuseum Antwerpen;2000;211993;20
Toerisme Tongeren;3700;226668;20
Toerisme - VVV Balen vzw;2490;219163;20
M – café (M – Museum Leuven);3000;210807;20
Grand Café au Lilas Blanc;8301;221195;20
Visit Antwerpen - Centraal Station;2018;211042;20
Frietmuseum;8000;211569;20
Belfort Brugge;8000;211605;20
Site Oud Sint-Jan;8000;211570;20
Belgische Militaire Begraafplaats Adinkerke;8660;219794;20
Site Oud Sint-Jan;8000;211568;20
Strandrolstoel en tandems;8670;226767;20
Restaurant De Mirage;8660;227393;20
Paul Delvauxmuseum;8670;228305;20
Fort Napoleon;8400;226767;20
Brouwerijbezoek Dilewyns;9200;228671;20
Restaurant Bistreau;8450;228267;20
Hotel Dennenhof - restaurant;2930;382925;20
Bistro Vaudeville;8400;228366;20
Brasserie Cinq Annoo;8301;227937;20
Marktplein Brugge;8000;211567;20
Bezoekerscentrum De Lambiek;1652;357221;20
NAVIGO-Nationaal Visserijmuseum;8670;229390;20
Bezoekerscentrum De Lieteberg;3690;261635;20
Strandrolstoel;8370;219837;20
ModeMuseum Antwerpen - MoMu;2000;211072;20
Sint-Pietersabdij;9000;211256;20
Snijders&Rockoxhuis;2000;211217;20
Natuurpunt;2800;211053;20
Strandjutter;8300;222996;20
STAM;9000;211355;20
Taverne Passage (Grand Bazar Antwerp);2000;211047;20
Dienst Toerisme Koksijde-Oostduinkerke;8670;227633;20
Kasteel van Gaasbeek;1750;219668;20
Bistro Vaudeville;8400;224810;20
Sealife Center Belgium;8370;229474;20
Marktplein Brugge;8000;211583;20
Eet-praatcafé De Smidse;8430;228436;20
Restaurant Comilfo;8620;225254;20
Volkssterrenwacht MIRA;1850;229358;20
Sealife Center Belgium;8370;220365;20
Novotel Leuven Centrum;3000;210766;20
Toerisme Ieper;8900;227411;20
Markt;8000;211542;20
Strandbuggy en -rolstoel;8400;212541;20
Provinciaal Groendomein De Averegten;2220;357119;20
Sealife Center Belgium;8370;228583;20
Basiliek van het Heilig Bloed;8000;211604;20
APB Provinciaal Recreatiedomein Zilvermeer;2400;219331;20
Zwembad Hoge Blekker;8670;229101;20
Carcasse;8670;220104;20
Restaurant Comilfo;8620;222890;20
Verhuur aangepaste fietsen en rolstoelen – Provinciaal Domein Puyenbroeck;9185;225492;20
Basiliek van het Heilig Bloed;8000;211568;20
Zwembad- en saunacomplex Sport Vlaanderen;8370;228492;20
Visit Antwerpen;2000;382980;20
Strandrolstoel;8660;227937;20
Restaurant De Mirage;8660;221323;20
Recreatiedomein Grasduinen;8450;220365;20
Wandelen met de Joëlette (draagrolstoel);2460;219121;20
Wombat bij Corsendonk De Linde;2470;219079;20
Middelheimmuseum;2020;211052;20
Caterpillar;8902;229617;20
Ravelingen - Den Ensor;8400;377927;20
NAVIGO-Nationaal Visserijmuseum;8670;228436;20
Restaurant Venitien;8370;220631;20
Permekemuseum;8490;250994;20
Zuivelmuseum;8370;229629;20
Bistro Moby Dick;8400;229383;20
Museum Schone Kunsten Gent - MSK;9000;210817;20
Bistro De Markt;8370;219719;20
Restaurant Zeepaardje;8370;220354;20
Bruges Beer Museum;8000;211570;20
Zuivelmuseum;8370;223202;20
Zoo Antwerpen;2018;211447;20
Zwembad Hoge Blekker;8670;228426;20
Poelcapelle British Cemetery;8920;221955;20
Zwembad- en saunacomplex Sport Vlaanderen;8370;229368;20
Toerisme De Haan - Infokantoor Vosseslag;8420;324928;20
Ravelingen - Den Ensor;8400;345862;20
Brasserie Carrousel (Hotel Cosmopolite);8620;224518;20
Gruuthusemuseum;8000;211587;20
Domein Kattevennen;3600;226001;20
Zoo Antwerpen;2018;251038;20
Dienst Toerisme Veurne;8630;222372;20
Restaurant Bistreau;8450;324790;20
Belle Epoque Centrum;8370;228269;20
Taverne Seastar Terminal;8620;228759;20
Zwembad Hoge Blekker;8670;223464;20
Verhuur aangepaste fietsen en rolstoelen – Provinciaal Domein Puyenbroeck;9185;229363;20
Dodengang;8600;226363;20
Sint-Alexiusbegijnhof;9200;229329;20
Belgische Militaire Begraafplaats Adinkerke;8660;229463;20
VVV Toerisme Essen vzw;2910;386761;20
Restaurant Zeepaardje;8370;229376;20
The Bluff;8902;385202;20
Strandjutter;8300;222117;20
Minnewater;8000;211701;20
Hill 60;8902;226610;20
Restaurant Zeepaardje;8370;379090;20
Zwembad- en saunacomplex Sport Vlaanderen;8370;276418;20
Sint-Carolus Borromeuskerk;2000;211406;20
Bezoekerscentrum Doornpanne;8670;229394;20
Hotel Dennenhof - restaurant;2930;219163;20
Gravensteen;9000;211138;20
Brouwerij Omer Vander Ghinste;8510;224228;20
Bezoekerscentrum Doornpanne;8670;219729;20
Stadhuis Antwerpen;2000;212271;20
Stadhuis van Antwerpen;2000;211105;20
Bistro Vaudeville;8400;228797;20
Strandbuggy en -rolstoel;8400;221343;20
Restaurant De Mirage;8660;224209;20
Brasserie Marcel;8370;345862;20
Living Tomorrow;1800;221326;20
Zwembad Hoge Blekker;8670;223257;20
Brouwerij Omer Vander Ghinste;8510;224552;20
Tearoom Riviera;8430;225145;20
Kazerne Dossin;2800;211319;20
Strandrolstoel en tandems;8670;229380;20
Strandrolstoel en tandems;8670;228997;20
Carcasse;8670;220969;20
MUSEA MAASEIK;3680;225262;20
Toerisme Hasselt;3500;229400;20
Tearoom - Eetcafé De Bretoen;8000;211598;20
Kasteel Wijnendale;8820;226691;20
Graanmarkt 13;2000;381962;20
Toerisme Oostende;8400;220363;20
De Kwizien;3500;224639;20
Het Lijsternest: Streuvelshuis & schrijversresidentie;8570;220948;20
Bistro De Markt;8370;223963;20
Resto North Sea (North Sea Bowl);8670;221314;20
Carcasse;8670;225484;20
Zwembad- en saunacomplex Sport Vlaanderen;8370;220385;20
FOMU – Fotomuseum Antwerpen;2000;211052;20
Stedelijk zwembad;8620;228267;20
Carcasse;8670;378913;20
Red Star Line Museum;2000;211072;20
Toerisme De Haan - Centrum;8420;227603;20
Toeristisch infopunt Vilvoorde;1800;220957;20
Nationaal Park Hoge Kempen;3600;227797;20
(elektrische) Strandjutter;8670;227292;20
Restaurant Maria van Bourgondië;8000;211592;20
Cafetaria De Lenspolder (kinderboerderij);8620;225763;20
Heemkundig Museum Turkeyenhof;8450;227913;20
Brouwerij Timmermans;1701;220078;20
Zoethout;3830;228067;20
Abdijmuseum Ten Duinen ;8670;229381;20
Rolstoelfietsen;8200;211596;20
VZW Werkplus Maatwerk / Veloods Fietsenverhuur;8790;224792;20
Café 't Koningsrek “Zates”;2880;223181;20
Glacier Vincent;8370;228820;20
Openluchtmuseum Bokrijk;3600;222999;20
Restaurant De Mirage;8660;225295;20
Zuivelmuseum;8370;221939;20
Strandjutter;8430;225056;20
Talbot House;8970;224193;20
Bezoekerscentrum “Duvel Depot”;2870;225592;20
Bezoekerscentrum De Lambiek;1652;220573;20
Strandbuggy en -rolstoel;8400;229383;20
The Jane;2018;211105;20
Taverne Seastar Terminal;8620;229376;20
Hidrodoe;2200;219352;20
Restaurant Caroline;8301;220429;20
Belgische Militaire Begraafplaats Steenkerke;8630;224406;20
Restaurant-Taverne Tijdok;8380;225392;20
Wombat bij Corsendonk De Linde;2470;219285;20
Zuivelmuseum;8370;221314;20
Strandrolstoel;8370;225595;20
Fietsencentrum Mobiel (Handbike);8500;224228;20
Provinciedomein Raversyde;8400;222117;20
Taverne Passage (Grand Bazar Antwerp);2000;211406;20
Les Zéphyrs;8434;222996;20
Recreatiedomein Grasduinen;8450;228269;20
Amu;2300;219587;20
Restaurant De Mirage;8660;229554;20
Strandrolstoel;8370;223085;20
Bruges Beer Museum;8000;211587;20
Toerisme Zonnebeke;8980;224193;20
Zwin Natuur Park;8300;379090;20
Sint-Pietersabdij;9000;211133;20
NAVIGO-Nationaal Visserijmuseum;8670;227135;20
Marktplein Brugge;8000;211547;20
Bistro Vaudeville;8400;224878;20
Bezoekerscentrum “Duvel Depot”;2870;229351;20
Arentshuis;8000;211590;20
Zwembad Ter Polder;8450;223345;20
Provinciaal Groendomein De Averegten;2220;219567;20
Standbeeld den Uil;2800;211875;20
Brouwerij Rodenbach;8800;222305;20
Tearoom Désiré de Lille;2000;384265;20
Restaurant Venitien;8370;225295;20
ModeMuseum Antwerpen - MoMu;2000;211039;20
Dodencellen en executiepaal;8970;224193;20
Kantcentrum;8000;211617;20
Resto North Sea (North Sea Bowl);8670;225484;20
Brasserie Marcel;8370;229360;20
Taverne Passage (Grand Bazar Antwerp);2000;212271;20
Belle Epoque Centrum;8370;228820;20
Eet-praatcafé De Smidse;8430;229371;20
Café De Republiek;8000;211570;20
Station As;3665;225800;20
Gruuthusemuseum;8000;211541;20
Reinaertroute (160 km);9000;210818;20
Toerisme Middelkerke;8430;324790;20
Abdijmuseum Ten Duinen ;8670;225058;20
Zwembad Ter Polder;8450;220363;20
Domeinbos Heverleebos + Meerdaalwoud;3050;229352;20
Restaurant Bistreau;8450;220689;20
Dienst Toerisme Koksijde-Oostduinkerke;8670;226767;20
Minnewater;8000;211730;20
het MOT;1850;230262;20
Toerisme De Haan - Centrum;8420;226937;20
Ossuaire français Veurne;8630;220415;20
Tearoom Riviera;8430;229380;20
Zwembad Hoge Blekker;8670;222232;20
Toeristisch infopunt Vilvoorde;1800;227199;20
Kajak Maasland;3620;225093;20
VVV Toerisme Essen vzw;2910;219555;20
Entomopolis;3690;226831;20
Rolstoelfietsen;8200;211591;20
Sint-Salvatorskathedraal;8000;211553;20
Sint-Pietersabdij;9000;210762;20
Restaurant Callecanes;8978;225977;20
AfricaMuseum;3080;227930;20
Tearoom Aan Zee;8660;219811;20
Restaurant Aazaert;8370;228436;20
Wombats lenen bij Dienst Toerisme;2920;219599;20
Taverne Seastar Terminal;8620;227206;20
FOMU – Fotomuseum Antwerpen;2000;211991;20
Het Broek Blaasveld;2830;226985;20
Les Zéphyrs;8434;220969;20
Marktplein Brugge;8000;211596;20
Strandrolstoel en tandems;8670;227146;20
Tearoom Désiré de Lille;2000;302839;20
Melaan;2800;211333;20
Bezoekerscentrum Bulskampveld;8730;223370;20
Ravelingen - Den Ensor;8400;228128;20
Restaurant De Mirage;8660;229463;20
Visit Antwerpen;2000;298528;20
DvT Koekelare;8680;223152;20
Gallo-Romeins Museum (GRM);3700;302381;20
Dienst Toerisme Koksijde-Oostduinkerke;8670;220509;20
Fort van Duffel;2570;219460;20
Infokantoor Markt (Historium);8000;211605;20
Brouwerijbezoek De Kroon;3040;229349;20
Talbot House and The Concert Hall;8970;229396;20
Hopmuseum;8970;220415;20
Abdijmuseum Ten Duinen ;8670;222952;20
Historium Brugge;8000;211591;20
Tearoom M due;8450;229474;20
Sint-Janskerk;8970;223692;20
Restaurant - Tearoom De Markt;8620;226669;20
Restaurant - Tearoom De Markt;8620;220509;20
Memorial Museum Passchendaele 1917;8980;221893;20
Toerisme De Haan - Centrum;8420;263796;20
Bruges Beer Museum;8000;211537;20
Verhuur aangepaste fietsen – DE SNEUKELFIETS;9790;228596;20
Bezoekerscentrum Dru!f, huis van de tafeldruif;3090;221522;20
Brasserie Cinq Annoo;8301;229385;20
Basiliek van het Heilig Bloed;8000;211577;20
Amu;2300;211783;20
Strandrolstoel;8370;227633;20
Restaurant Comilfo;8620;228128;20
Kajak Maasland;3620;226790;20
Restaurant Maria van Bourgondië;8000;211561;20
Glacier Vincent;8370;229376;20
M Leuven;3000;211509;20
Strandbuggy en -rolstoel;8400;229474;20
Lijssenthoek Military Cemetery;8970;220048;20
Stadhuis van Mechelen;2800;211088;20
M HKA - Museum van Hedendaagse Kunst Antwerpen;2000;383942;20
Fort van Duffel;2570;219370;20
Taverne Seastar Terminal;8620;227292;20
Dienst Toerisme Koksijde-Oostduinkerke;8670;221195;20
Restaurant De Mirage;8660;225077;20
Ossuaire français Veurne;8630;221408;20
Restaurant De Mirage;8660;228185;20
Tearoom - Eetcafé De Bretoen;8000;211556;20
Bistro De Markt;8370;224847;20
Tearoom Aan Zee;8660;228797;20
Zoethout;3830;224639;20
Restaurant - Tearoom De Markt;8620;219837;20
Dodengang;8600;227253;20
Domein Bokrijk;3600;229051;20
Glacier Vincent;8370;222520;20
Ravelingen - De Wandelaar;8400;224638;20
Glacier Vincent;8370;227603;20
Loopgravensite Bayernwald;8950;219847;20
Zwembad Ter Polder;8450;385266;20
Toerisme De Haan - Centrum;8420;220740;20
Provinciaal Groendomein Prinsenpark;2470;219370;20
MoMu - Modemuseum Antwerpen;2000;211965;20
Tearoom Riviera;8430;229373;20
Brouwerijbezoek De Kroon;3040;228295;20
Strandrolstoel en tandems;8670;229390;20
Brasserie Flo Antwerp (Hilton Antwerp Old Town);2000;384084;20
Kasteel Beauvoorde;8630;223692;20
Grand Café au Lilas Blanc;8301;222952;20
Toerisme De Haan - Infokantoor Vosseslag;8420;220363;20
Tearoom - Eetcafé De Bretoen;8000;211572;20
Museum De Mindere;3800;379593;20
Bezoekerscentrum Doornpanne;8670;220104;20
Fietsparadijs Limburg;3500;314745;20
Het Waterhuis aan de Bierkant;9000;211256;20
Provinciedomein Raversyde;8400;227146;20
Belle Epoque Centrum;8370;224166;20
Zwembad- en saunacomplex Sport Vlaanderen;8370;225254;20
Brasserie Entourage;8400;222117;20
Toerisme De Haan - Infokantoor Vosseslag;8420;226693;20
Site Oud Sint-Jan;8000;211587;20
Strandbuggy en -rolstoel;8400;225392;20
Restaurant 	Verdi;8000;211538;20
Toeristisch bezoekerscentrum De Warandepoort;3080;224790;20
Vinto;9770;222456;20
Belle Epoque Centrum;8370;228715;20
Restaurant Brasserie Tearoom Beach;8300;227393;20
(elektrische) Strandjutter;8670;385838;20
Bike Corner - verhuur tandems en elektrische fietsen;9800;221270;20
Strandbuggy en -rolstoel;8400;225512;20
Restaurant Caroline;8301;228525;20
Belfort Foodbar;9000;211256;20
Sint-Niklaaskerk;9000;211411;20
Entomopolis;3690;378922;20
Taverne Seastar Terminal;8620;225254;20
AfricaMuseum;3080;225947;20
ModeMuseum Antwerpen - MoMu;2000;211874;20
Stadhuis Brugge;8000;211576;20
Blotevoetenpad;3690;223612;20
Verhuur handbikes To Walk Again;2200;219184;20
Rolstoelfietsen (Maasmechelen);3630;324996;20
Stadhuis Antwerpen;2000;324993;20
Restaurant - Tearoom De Markt;8620;228759;20
Restaurant - Tearoom De Markt;8620;223202;20
Stedelijk zwembad;8620;228679;20
Visit Antwerpen;2000;211406;20
Tearoom Aan Zee;8660;228857;20
Restaurant Brasserie Tearoom Beach;8300;324928;20
Begijnhof Brugge;8000;211609;20
MoMu - Modemuseum Antwerpen;2000;385344;20
Tearoom Riviera;8430;224724;20
Belgische Militaire Begraafplaats Oeren;8690;229617;20
Restaurant Bistreau;8450;226383;20
Loopgravensite Bayernwald;8950;226363;20
Volta.;9000;211136;20
Provinciaal Domein De Gavers;8530;228898;20
Bezoekerscentrum Ferdinand Verbiest;8740;219967;20
Brouwerij Timmermans;1701;221906;20
Taverne Seastar Terminal;8620;226507;20
Innesto;3530;220936;20
Bezoekersonthaal Kattevennen - Cosmodrome;3600;221480;20
Eet-praatcafé De Smidse;8430;227150;20
Restaurant-Taverne Tijdok;8380;227906;20
Bistro De Markt;8370;224724;20
Stokerijbezoek De Molenberg;2830;227692;20
Toerisme Middelkerke;8430;220363;20
Gallo-Romeins Museum (GRM);3700;225566;20
Stokerijbezoek De Molenberg;2830;226416;20
Foubert – Cremerie & Chocoladebar;9100;221036;20
Restaurant - Tearoom De Markt;8620;229554;20
Restaurant Zeepaardje;8370;229101;20
Ravelingen - Den Ensor;8400;227146;20
Suske en Wiske Museum;2920;211475;20
Sel Gris;8301;226767;20
Heemkundig Museum Turkeyenhof;8450;382345;20
Paul Delvauxmuseum;8670;223485;20
VZW Werkplus Maatwerk / Veloods Fietsenverhuur;8790;226220;20
M HKA - Museum van Hedendaagse Kunst Antwerpen;2000;381962;20
Sint-Carolus Borromeuskerk;2000;211335;20
Wielingenbad;8420;225595;20
Pater Damiaanmuseum;3120;212482;20
strandbuggy's;8400;225392;20
Vayamundo De Kinkhoorn & Ravelingen;8400;221132;20
Fort Napoleon;8400;219719;20
Strandbuggy en -rolstoel;8400;261132;20
Rubenshuis;2000;277020;20
Red Star Line Museum;2000;211108;20
Brouwerij Gruut;9000;210817;20
Duinpanne;8660;229385;20
Bezoekerscentrum De Lieteberg;3690;226173;20
Taverne On the Beach (Casino Middelkerke);8430;220969;20
Restaurant Comilfo;8620;222952;20
Rolstoelfietsen;8200;211560;20
Hill 60;8902;225875;20
Bezoekerscentrum Doornpanne;8670;225056;20
NAVIGO-Nationaal Visserijmuseum;8670;226767;20
Restaurant Caroline;8301;381218;20
Glacier Vincent;8370;221323;20
NAVIGO-Nationaal Visserijmuseum;8670;226937;20
Sel Gris;8301;224518;20
Visit Lier;2500;302245;20
Suske en Wiske Museum;2920;219460;20
Ravelingen - De Wandelaar;8400;220694;20
Marktplein Brugge;8000;211676;20
Het Waterhuis aan de Bierkant;9000;211401;20
Strandrolstoel;8370;219749;20
Begijnhof Lier;2500;219559;20
Restaurant - Tearoom De Markt;8620;225254;20
Dienst Toerisme Koksijde-Oostduinkerke;8670;228366;20
Zwin Natuur Park;8300;229368;20
Hopmuseum;8970;325282;20
Restaurant Aazaert;8370;228426;20
Toerisme Knokke-Heist;8300;385266;20
Snijders&Rockoxhuis;2000;211876;20
STAM - Stadsmuseum Gent;9000;261492;20
Bistro Moby Dick;8400;221596;20
Restaurant Callecanes;8978;221188;20
Ravelingen - De Wandelaar;8400;314734;20
Volta.;9000;210764;20
De Kwizien;3500;383181;20
Strandrolstoel;8370;219811;20
Basiliek van het Heilig Bloed;8000;211733;20
Museum Dr. Guislain;9000;211259;20
Saint-Charles De Potyze;8900;223395;20
Domein Kattevennen;3600;223490;20
Resto North Sea (North Sea Bowl);8670;228583;20
provinciaal Domein Het Leen;9900;223471;20
Restaurant - Tearoom De Markt;8620;228305;20
Kantcentrum;8000;211593;20
Sel Gris;8301;228098;20
Kasteel van Horst;3220;212491;20
Brouwerij Omer Vander Ghinste;8510;275352;20
Markt;8000;211566;20
Brasserie Entourage;8400;221323;20
Resto North Sea (North Sea Bowl);8670;229393;20
Rubenshuis;2000;211065;20
Toerisme Brasschaat;2930;302245;20
M HKA - Museum van Hedendaagse Kunst Antwerpen;2000;211123;20
Toeristisch bezoekerscentrum De Warandepoort;3080;221868;20
Serpentarium;8370;227288;20
Brasserie Cinq Annoo;8301;228305;20
Spoorfietsen;2950;219288;20
